Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,BHR,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.046921875,0.13965159,0.121679163,0.088836222,0.115727769,0.08676355,0.044802668,0.06784047,0.072820686,0.081753347,0.161428373,0.182662883,0.212685707,0.305213983,0.284043124,0.285752206,0.306743443,0.326160656,0.317849731,0.314091313,0.290139577,0.301679612,0.337460975,0.274766624,0.299327219,0.321752038,0.336294835,0.337017492,0.346131849,0.322995136,0.331729613,0.308445986,0.275902568,0.3614917,0.356228663,0.347998247,0.357367919,0.385376542,0.397004109,0.374750913,0.371340182,0.264311865,0.282686819,0.279964102,0.279325669,0.285968075,0.260087461,0.343066678,0.353547656,0.315207361,0.312225561,0.296735557,0.271633242,0.315214083,0.310503128,,,,
"Bahamas, The",BHS,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.049636712,0.062829795,0.079375643,0.073574921,0.107464494,0.124427781,0.09882402,0.147902472,0.136163071,0.140665603,0.201194732,0.512547945,0.483074661,0.574180804,0.528391276,0.578477755,0.443643121,0.65266598,0.434171273,0.445412341,0.502286323,0.17223873,0.136029573,0.118618382,0.106832165,0.085259713,0.078192638,0.077423948,0.0823937,0.102397251,0.100792322,0.090389166,0.089230599,0.083094457,0.080951532,0.079524928,0.077778691,0.062842518,0.076508252,0.075441658,0.074106234,0.068656703,0.067847109,0.064181665,0.071546013,0.070979451,0.066576122,0.066329074,0.057628666,0.062206469,0.061681238,0.068716306,0.071697407,0.101009556,0.086312811,,,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047068404,0.040904064,0.01086418,0.011853716,0.014971575,0.029741627,0.037555017,0.036699442,0.048658009,0.047102412,0.050359511,0.050980278,0.054899145,0.056971122,0.061752644,0.062105562,0.071064881,0.073362672,0.076009542,0.086369657,0.081737382,0.081915693,0.084523945,,,,
Belarus,BLR,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113276828,0.099254305,0.08421002,0.078920609,0.078391577,0.077928254,0.076385763,0.074083665,0.071349554,0.070347485,0.070319429,0.072334471,0.079125735,0.081049399,0.085549995,0.083800821,0.087677569,0.085248666,0.087936149,0.089522337,0.08842986,0.089179934,0.088720647,,,,
Belize,BLZ,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.006327401,0.005125901,0.009471089,0.008238937,0.010832625,0.010521281,0.009766743,0.014215259,0.011711315,0.015060424,0.013111146,0.015170794,0.016416706,0.015018119,0.015527278,0.017485391,0.01724125,0.019135596,0.020610119,0.019581739,0.017510864,0.016448172,0.015059798,0.014642088,0.014228888,0.015305986,0.016031644,0.01726547,0.018438343,0.021696271,0.022000429,0.024890619,0.02423144,0.025300894,0.024551118,0.024158972,0.019084547,0.023222514,0.021294477,0.019296629,0.021198602,0.023219149,0.021831748,0.021260724,0.01878522,0.01967068,0.020162092,0.021104243,0.018827514,0.024684212,0.02212942,0.024107493,0.018670699,0.0196582,0.018545687,,,,
Bermuda,BMU,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.047013157,0.051211061,0.044793652,0.041725294,0.054599386,0.047477986,0.052351176,0.054145028,0.055871187,0.048543818,0.054722122,0.056012098,0.061799325,0.104666968,0.109996291,0.114490136,0.116797156,0.112723472,0.105057516,0.113689982,0.10566516,0.093472201,0.09455053,0.106756474,0.104102971,0.104940237,0.097287286,0.13090694,0.146429327,0.175724974,0.112100985,0.120905122,0.104386399,0.121132935,0.118659029,0.117812968,0.116255214,0.114745623,0.113109334,0.11089393,0.110696203,0.111837799,0.11728542,0.117287077,0.121092988,0.120311548,0.133918131,0.148875289,0.13163568,0.096146875,0.12373739,0.090976426,0.097390295,0.09335206,0.117001787,,,,
Bolivia,BOL,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.003637181,0.003697125,0.003829394,0.004142101,0.004955257,0.004951891,0.005428407,0.00595166,0.006709695,0.007686503,0.007340027,0.008846876,0.010097766,0.009564889,0.009515685,0.010744552,0.011857192,0.011346153,0.012451699,0.011481838,0.011074731,0.011136686,0.009901884,0.009573249,0.008836174,0.008837632,0.007925044,0.008280468,0.008668128,0.009837159,0.011102046,0.011340698,0.01230387,0.014172457,0.015310548,0.017106129,0.016723611,0.018249514,0.017968398,0.016743574,0.017403261,0.013301094,0.015741124,0.016488656,0.016224025,0.017472461,0.021214631,0.017079448,0.018026437,0.018735333,0.020028946,0.020928169,0.023973293,0.023755324,0.025236488,,,,
Brazil,BRA,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.008603203,0.008765296,0.009290118,0.009346696,0.009265083,0.008954928,0.009933478,0.0099535,0.011339072,0.012034596,0.013049882,0.013937754,0.015160679,0.017148024,0.018137252,0.01866436,0.018707714,0.019188612,0.02034502,0.021149049,0.020520535,0.018405511,0.018018247,0.017040554,0.016880238,0.01773714,0.019063379,0.019499309,0.019296866,0.019362351,0.018558324,0.01914633,0.018940221,0.019474279,0.020106535,0.021108575,0.022901732,0.023794475,0.024348927,0.024596625,0.024840367,0.025209103,0.024499366,0.02341813,0.024304295,0.024701841,0.024459287,0.025289041,0.02672218,0.025067779,0.028392062,0.02945078,0.031222509,0.033166651,0.034590065,,,,
Barbados,BRB,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.009877736,0.011103248,0.014815658,0.010804599,0.010139766,0.011547594,0.015010075,0.018871166,0.02455418,0.026724549,0.023774474,0.026688647,0.027536605,0.026162284,0.026589132,0.030567416,0.028430278,0.031395713,0.033371049,0.03167358,0.035389361,0.035838001,0.033625806,0.03562842,0.038759511,0.043758256,0.047201961,0.048352103,0.048360685,0.050419226,0.054508916,0.060979806,0.049303498,0.055925634,0.037384675,0.041250974,0.042172656,0.044527808,0.056053136,0.059232393,0.057927544,0.059321436,0.059475831,0.061226341,0.062248324,0.06482511,0.065430244,0.064794762,0.076644665,0.07615624,0.069340691,0.071532516,0.068614984,0.067446633,0.059140542,,,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.05406829,0.047090261,0.054792924,0.050339431,0.046155636,0.043145424,0.060637914,0.051804017,0.048174072,0.052235662,0.839114084,0.733501091,0.881856684,0.889734649,0.698706417,0.579969264,0.474236048,0.484565738,0.697061417,0.525017624,0.469967073,0.097320136,0.134513479,0.168926883,0.116367213,0.153126203,0.131810293,0.184928441,0.309650464,0.334168524,0.316907048,0.264045108,0.252031125,0.233515477,0.214666534,0.213380137,0.211626836,0.214741948,0.218576775,0.158633119,0.187230969,0.175454079,0.167140505,0.172029618,0.184082218,0.181483896,0.173846975,0.297115896,0.318191336,0.27110268,0.279412423,0.326019219,0.320714365,0.255429971,0.294270293,,,,
Bhutan,BTN,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0.000163273,0.000158146,0.000153218,0.00014846,0.00014384,0.000139335,0.000134947,0.00026139,0.000379915,0.000737011,0.000715854,0.000812719,0.001018558,0.000882972,0.001505315,0.001777526,0.001521139,0.002749735,0.002858097,0.001580387,0.003200868,0.004630727,0.005358278,0.004557283,0.005293396,0.006174441,0.007351524,0.009414725,0.008945363,0.00882033,0.008870636,0.008443942,0.008983496,0.007963846,0.006383195,0.00808142,0.007900988,0.007812267,0.008312137,0.007585833,0.00941838,0.014003738,0.01542978,0.017155514,0.018430362,,,,
Botswana,BWA,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0.000436616,0.000985073,0.001630099,0.003339473,0.010213393,0.012916251,0.013237097,0.014421595,0.01454366,0.01434806,0.015124648,0.013693808,0.013413288,0.014341908,0.01271555,0.014207053,0.014360078,0.015212802,0.027803868,0.026315635,0.02698552,0.030255097,0.027994481,0.027457546,0.024260134,0.024076133,0.028094484,0.02598628,0.030455572,0.030436304,0.030898008,0.029220367,0.029227578,0.030139574,0.029825801,0.02986979,0.031143839,0.025495781,0.031220796,0.027434432,0.027466617,0.033562316,0.044578387,,,,
Central African Republic,CAF,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.000775838,0.000763435,0.000625601,0.000614724,0.000603548,0.000710525,0.000667361,0.00071041,0.001391583,0.001391753,0.001527762,0.001318754,0.001195544,0.001127226,0.000781993,0.000694061,0.000850787,0.000832893,0.000930108,0.000634922,0.000640083,0.000793185,0.00081068,0.00080627,0.000803063,0.000840199,0.000822219,0.001302161,0.001135223,0.001202221,0.000933956,0.000944396,0.000967846,0.000972104,0.000991001,0.000964051,0.000939113,0.000958732,0.000949788,0.000982333,0.000973429,0.000873837,0.000855425,0.000800479,0.000784571,0.000769319,0.000801584,0.000797884,0.000783814,0.000772202,0.000796749,0.000834948,0.00087537,0.000884015,0.000891675,,,,
Canada,CAN,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.142584687,0.140692317,0.147347465,0.14736699,0.162898734,0.169632003,0.1712327,0.182821745,0.193707244,0.193521957,0.211995615,0.212540802,0.227085861,0.224611269,0.226343733,0.227167182,0.225425259,0.22773147,0.229754163,0.241807005,0.239338371,0.229347833,0.218628393,0.213282043,0.220019228,0.216216448,0.205442317,0.215914676,0.225339878,0.224837079,0.208042645,0.201506547,0.205760496,0.205635572,0.208539474,0.211266576,0.214337166,0.219244559,0.222366597,0.224422628,0.230535332,0.225290284,0.219226797,0.231385244,0.228862538,0.228853546,0.221026627,0.223131063,0.223385163,0.21129741,0.208145949,0.207060257,0.197328784,0.195142723,0.200674176,,,,
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.067569576,0.070565728,0.074907997,0.080285209,0.085446709,0.087431524,0.089553868,0.092305108,0.097713173,0.104249099,0.107906489,0.110621258,0.114681573,0.118584404,0.121436238,0.128410896,0.134819668,0.139193872,0.145371742,0.146045601,0.149084779,0.139186857,0.141977395,0.142566562,0.141695681,0.143590881,0.145530286,0.148951439,0.143334673,0.139095389,0.119335138,0.109077586,0.104524997,0.103792138,0.097395966,0.099906881,0.101630274,0.099178492,0.093598916,0.088648001,0.087421807,0.090429171,0.089558469,0.092750034,0.09177432,0.092507175,0.096004541,0.096370159,0.094747049,0.086252431,0.090389642,0.090870393,0.086104938,0.083993093,0.081399028,,,,
