Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0.02119047,0.04355791,0.039542131,0.040707449,0.050175079,0.046142492,0.045427113,0.044690351,0.043941773,0.05090667,0.059131027,0.061090496,0.064414895,0.06614701,0.07906615,0.083137652,0.077476543,0.090624092,0.124050469,0.141883466,0.147488814,0.185570819,0.187040193,0.188194907,0.14380685,0.143457718,0.140864824,0.147717948,0.15410088,0.222644589,0.153890816,0.161133542,0.157769406,0.152659069,0.152895449,0.144528219,0.158674107,0.175906563,0.182706588,0.191983141,0.208643839,0.194195973,0.19007789,0.198125622,0.19699063,0.19505894,0.228781056,0.268665773,0.303620071,0.296821735,0.292365703,0.31975851,0.368983075,0.416585729,0.376787064,,,,
Bangladesh,BGD,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0.122493368,0.15659443,0.157675555,0.161633486,0.180788001,0.183992283,0.18547766,0.199423266,0.223050524,0.225589133,0.238263256,0.222348785,0.239971357,0.262233269,0.28607064,0.288360444,0.320839795,0.310727804,0.35013598,0.351052255,0.382234247,0.366848573,0.391305388,0.460716067,0.474997082,0.485086307,0.455858581,0.468801178,0.507701571,0.580223367,0.591709341,0.615464741,0.640092148,0.660345331,0.718560381,0.723489318,0.79792429,0.85638597,0.944524705,0.987937046,1.03961671,1.061210719,1.101529326,,,,
Bulgaria,BGR,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,6.590467724,7.604465289,8.920678647,9.906467273,12.23950678,13.12942312,13.73357376,15.43806782,16.54003349,18.30216934,16.77540552,17.51756436,17.94338768,18.56639586,19.09525125,19.483436,19.41382831,20.06689875,21.48030127,20.85612094,20.33543876,21.01495705,23.50529143,23.50775958,22.674329,23.23903134,23.76116265,23.7538,22.60196161,22.72386481,19.86746695,15.50408736,14.76078456,18.62743344,14.91749021,16.04727069,15.72846753,14.44151066,13.8007565,12.4574839,12.39077754,13.48852668,13.24480685,14.14969787,14.10439955,14.54949313,14.98914714,16.10566345,15.74904079,13.3283575,13.87186094,15.61716409,14.23129425,12.67603712,13.65492063,,,,
Bahrain,BHR,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,8.242973122,24.53321185,21.37591616,15.60625168,20.33040862,15.24213624,7.870682735,11.91783514,12.79273173,14.36197163,28.35883555,32.0891957,37.36343787,53.61828899,49.89911073,50.19935262,53.88697598,57.29808365,55.83806678,55.17780879,50.97010155,52.99739047,59.28326057,48.26946696,52.58413511,56.52360213,59.07839958,59.2053519,60.8065113,56.7419827,58.27640689,54.18606932,48.46902315,63.50484429,62.58026329,61.13438974,62.78040134,67.70080001,69.74346605,65.83414876,65.23497064,46.43283329,49.66084256,49.18253085,49.07037445,50.2372754,45.69071358,60.26803927,62.10927899,55.37386985,54.85004399,52.12884644,47.71901179,55.3750508,54.54745656,,,,
"Bahamas, The",BHS,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,8.7199005,11.03758775,13.94426986,12.92523144,18.87876257,21.85877812,17.36085228,25.9826808,23.92036839,24.71134805,35.34476758,90.0415622,84.86386015,100.8688788,92.82483015,101.6237432,77.93674738,114.6567165,76.27278597,78.24755411,88.2388578,30.2579388,23.89691624,20.83821523,18.76767844,14.97795051,13.7364463,13.6014071,14.47446537,17.9885776,17.70663255,15.87906421,15.67553354,14.5975705,14.22111326,13.97049547,13.66372633,11.03982278,13.44054273,13.25316936,13.01856955,12.06122632,11.9190015,11.27507669,12.5688043,12.46927379,11.69572148,11.65232155,10.12388246,10.92808528,10.83581556,12.07169716,12.59540037,17.74479511,15.16295283,,,,
Bosnia and Herzegovina,BIH,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.268714502,7.185797741,1.908558425,2.082394595,2.630122794,5.224842969,6.597455788,6.447153207,8.547967419,8.274688784,8.846877751,8.955930646,9.644375396,10.0083687,10.84835982,10.91035849,12.4842817,12.88794482,13.35293217,15.1729393,14.3591671,14.39049172,14.84869493,,,,
Belarus,BLR,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89984088,17.43644229,14.79354627,13.86433219,13.77139466,13.69000071,13.41902454,13.01460481,12.53429137,12.35825352,12.35332478,12.70731607,13.90036744,14.23830601,15.02894572,14.72166056,15.40270594,14.97600992,15.44813177,15.72678453,15.53486416,15.66663314,15.58594815,,,,
Belize,BLZ,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,1.111562432,0.900489634,1.663828068,1.447370498,1.903015072,1.848319909,1.715766811,2.497257394,2.057378407,2.64573128,2.303292876,2.665120416,2.883995281,2.638299373,2.727745612,3.071735966,3.028846625,3.361634706,3.620670756,3.440010599,3.076210765,2.889522985,2.645621306,2.572240299,2.499651555,2.688870203,2.816349728,3.03310138,3.23914513,3.811479716,3.864912627,4.372644949,4.25684412,4.444719812,4.31300333,4.244113289,3.352666739,4.079601677,3.740894897,3.389924025,3.724052134,4.079010484,3.835279723,3.73496529,3.300082626,3.455635315,3.541963705,3.707475652,3.307512573,4.336384663,3.887572956,4.235069796,3.279964222,3.453442798,3.258002869,,,,
Bermuda,BMU,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,8.259009009,8.996473294,7.869098712,7.330066793,9.591715414,8.340667502,9.196762426,9.511896243,9.815138219,8.527906977,9.613276956,9.839892665,10.85656054,18.38730872,19.32353454,20.11298815,20.51827243,19.80263043,18.45591808,19.97242154,18.56266563,16.42067465,16.61010935,18.75438152,18.28822899,18.43531509,17.09088743,22.99700061,25.72388688,30.87038266,19.69327539,21.23993707,18.33801995,21.279958,20.84535589,20.69672466,20.42306715,20.1578706,19.87041647,19.48122667,19.44649109,19.64704026,20.60404788,20.604339,21.27294021,21.13566121,23.52598983,26.15357984,23.1250216,16.89054645,21.73749398,15.98223072,17.10898341,16.39956881,20.5542209,,,,
Bolivia,BOL,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0.638959602,0.649490202,0.672726484,0.727661124,0.870511863,0.869920531,0.953632239,1.045554469,1.178721747,1.35032198,1.2894549,1.554169884,1.773919173,1.68030624,1.671662509,1.88754292,2.083005274,1.993228774,2.18744507,2.017065299,1.945546961,1.956430859,1.739507662,1.681774937,1.552289818,1.55254591,1.392227484,1.454666399,1.522768327,1.728137266,1.950345537,1.992270593,2.161475224,2.489738118,2.689671581,3.005109212,2.937910564,3.205972796,3.156587827,2.941417577,3.057307689,2.336662026,2.765312893,2.896635,2.85014609,3.069464431,3.726867894,3.000422052,3.166783918,3.291318757,3.518573484,3.676543967,4.211494294,4.17320271,4.433405395,,,,
